1.506734639406204224e-01,-2.489387691020965576e-01,7.550000548362731934e-01
1.539489775896072388e-01,-2.489387691020965576e-01,7.550000548362731934e-01
1.572244912385940552e-01,-2.489387691020965576e-01,7.550000548362731934e-01
1.604999899864196777e-01,-2.489387691020965576e-01,7.550000548362731934e-01
1.637755036354064941e-01,-2.489387691020965576e-01,7.550000548362731934e-01
1.670510172843933105e-01,-2.489387691020965576e-01,7.550000548362731934e-01
1.703265309333801270e-01,-2.489387691020965576e-01,7.550000548362731934e-01
1.736020296812057495e-01,-2.489387691020965576e-01,7.550000548362731934e-01
1.965306103229522705e-01,-2.489387691020965576e-01,7.550000548362731934e-01
1.998061239719390869e-01,-2.489387691020965576e-01,7.550000548362731934e-01
2.030816227197647095e-01,-2.489387691020965576e-01,7.550000548362731934e-01
2.063571363687515259e-01,-2.489387691020965576e-01,7.550000548362731934e-01
2.096326500177383423e-01,-2.489387691020965576e-01,7.550000548362731934e-01
2.129081636667251587e-01,-2.489387691020965576e-01,7.550000548362731934e-01
2.161836624145507812e-01,-2.489387691020965576e-01,7.550000548362731934e-01
2.194591760635375977e-01,-2.489387691020965576e-01,7.550000548362731934e-01
2.227346897125244141e-01,-2.489387691020965576e-01,7.550000548362731934e-01
2.260102033615112305e-01,-2.489387691020965576e-01,7.550000548362731934e-01
2.292857021093368530e-01,-2.489387691020965576e-01,7.550000548362731934e-01
2.325612157583236694e-01,-2.489387691020965576e-01,7.550000548362731934e-01
2.358367294073104858e-01,-2.489387691020965576e-01,7.550000548362731934e-01
2.391122430562973022e-01,-2.489387691020965576e-01,7.550000548362731934e-01
2.423877567052841187e-01,-2.489387691020965576e-01,7.550000548362731934e-01
2.456632554531097412e-01,-2.489387691020965576e-01,7.550000548362731934e-01
2.489387691020965576e-01,-2.489387691020965576e-01,7.550000548362731934e-01
2.522142827510833740e-01,-2.489387691020965576e-01,7.550000548362731934e-01
2.554897964000701904e-01,-2.489387691020965576e-01,7.550000548362731934e-01
2.587653100490570068e-01,-2.489387691020965576e-01,7.550000548362731934e-01
2.620408236980438232e-01,-2.489387691020965576e-01,7.550000548362731934e-01
2.653163075447082520e-01,-2.489387691020965576e-01,7.550000548362731934e-01
2.685918211936950684e-01,-2.489387691020965576e-01,7.550000548362731934e-01
2.718673348426818848e-01,-2.489387691020965576e-01,7.550000548362731934e-01
2.747783958911895752e-01,-2.486090362071990967e-01,7.540000081062316895e-01
2.780495882034301758e-01,-2.486090362071990967e-01,7.540000081062316895e-01
2.813207507133483887e-01,-2.486090362071990967e-01,7.540000081062316895e-01
2.845919132232666016e-01,-2.486090362071990967e-01,7.540000081062316895e-01
2.878631055355072021e-01,-2.486090362071990967e-01,7.540000081062316895e-01
2.911342680454254150e-01,-2.486090362071990967e-01,7.540000081062316895e-01
2.944054305553436279e-01,-2.486090362071990967e-01,7.540000081062316895e-01
-3.005486428737640381e-01,-2.450124919414520264e-01,7.530000209808349609e-01
-2.972818017005920410e-01,-2.450124919414520264e-01,7.530000209808349609e-01
-2.940149903297424316e-01,-2.450124919414520264e-01,7.530000209808349609e-01
-2.907481491565704346e-01,-2.450124919414520264e-01,7.530000209808349609e-01
-2.874813079833984375e-01,-2.450124919414520264e-01,7.530000209808349609e-01
-2.842144966125488281e-01,-2.450124919414520264e-01,7.530000209808349609e-01
-2.809476554393768311e-01,-2.450124919414520264e-01,7.530000209808349609e-01
-2.776808142662048340e-01,-2.450124919414520264e-01,7.530000209808349609e-01
-2.744139730930328369e-01,-2.450124919414520264e-01,7.530000209808349609e-01
-2.711471617221832275e-01,-2.450124919414520264e-01,7.530000209808349609e-01
-2.678803205490112305e-01,-2.450124919414520264e-01,7.530000209808349609e-01
1.468122601509094238e-01,-2.446871101856231689e-01,7.520000338554382324e-01
1.500747650861740112e-01,-2.446871101856231689e-01,7.520000338554382324e-01
1.533372551202774048e-01,-2.446871101856231689e-01,7.520000338554382324e-01
1.565997451543807983e-01,-2.446871101856231689e-01,7.520000338554382324e-01
1.598622500896453857e-01,-2.446871101856231689e-01,7.520000338554382324e-01
1.631247401237487793e-01,-2.446871101856231689e-01,7.520000338554382324e-01
1.663872301578521729e-01,-2.446871101856231689e-01,7.520000338554382324e-01
1.696497350931167603e-01,-2.446871101856231689e-01,7.520000338554382324e-01
1.729122251272201538e-01,-2.446871101856231689e-01,7.520000338554382324e-01
